-7183,-1988,-192
-4189,-262,-6133
5650,719,5343
-8867,-3212,-3479
-4116,7166,-6950
-446,361,9970
-717,288,9964
-1255,-863,-9908
-3835,1948,5202
8807,3757,3256
-4695,-1614,8698
-4970,-939,8610
-9661,-2756,718
5652,3197,7838
7853,3788,5137
-4184,-1586,6299
3647,-4779,4184
-165,4035,-6886
5971,-738,4472
3522,-5321,4647
-4597,-3473,-4549
1263,2897,-6569
6930,-3244,-1394
-6522,373,-4044
-6279,2486,-4009
3315,-5586,-4093
-5103,5475,170
5833,-3933,1378
-1185,-5738,-4607
-171,-2987,6845
415,6445,3695
-1292,-5624,4598
-3818,6493,1950
-137,-7121,-804
7785,-1045,-1699
5237,3047,-3441
372,568,10027
5895,-4563,-270
2618,-2011,6677
5537,-4244,2576
4083,-3590,-5103
1396,-1663,7036
6721,2066,301
653,-3925,-5998
2901,5768,-2679
-3398,-933,-7116
-1719,199,-6982
1319,3907,-6011
-3288,-3556,5446
1170,5239,-4932
-2455,5056,4632
-2342,3853,5720
4156,606,5577
-606,-1253,7023
4774,4513,-2884
2135,261,6841
5498,-5213,7635
-11866,-5141,-3111
-5079,-5531,1589
6759,-950,3479
1693,-5632,-4928
-7140,-86,-2743
-988,-3403,6540
4709,-1108,8669
-6704,-240,1739
5010,-4380,-3386
2619,474,6727
2249,6377,2427
-4938,-898,-5274
-2727,-1253,-6540
5967,1092,3871
-915,6263,-3420
9501,-7673,-2934
-5478,-4796,-5
247,-41281,-8612
-4067,-9083,1889
3762,-3953,4953
1870,6825,1943
-4965,1484,4670
-5400,-2229,-4083
-1785,6190,3669
1564,-6986,1970
5260,3313,-3916
1184,-6969,2055
-910,4736,-5684
1579,-7060,1698
-8,652,-7344
-4305,-4117,4218
-1519,-6936,-4799
349,1272,8498
7237,1534,-159
-3332,-1008,-6557
6762,1609,2483
-350,-63,7439
-1686,-488,7163
3594,-6231,1256
-6355,615,-3644
-2037,4201,5593
4828,-2012,6708
-3890,-6720,4877
-6951,4435,3995
5098,6656,-3697
-4287,-1834,5777
6896,1426,1930
5676,3153,-3332
-3935,-1043,6045
-7046,-1285,1312
3485,4631,-4437
-5154,-1889,-4781
-2244,-1146,6831
5317,2136,-4469
-1550,-3629,-6456
7413,-701,4424
3231,-6718,-1744
-614,1100,7537
3951,-5101,-3968
-1892,-7127,614
-4603,-3895,-4302
-156,-7258,1949
-4666,-7093,5229
-12431,-3634,6237
-8749,1742,2129
437,5749,-4998
-4443,567,5819
-2662,3667,6130
-6427,3157,-1861
-2800,1313,6780
-3400,1528,-6457
3258,3700,-5154
3433,-3887,4880
-3225,1733,6428
-7782,-169356,-5656
-19,-4819,6463
7044,578,-1278
6936,1445,4483
1439,-4978,5839
2516,2956,-7444
-5940,-3154,-3307
-8572,232,-666
2867,822,6850
-6694,1053,2730
7542,209,438
-3214,-267,-6737
6894,2978,867
-2778,847,-6845
218,351,-7491
1168,-591,7436
-1917,778,7251
-7064,596,-1395
2530,3512,-6455
4446,-959,6267
-5797,3132,-4144
-557,-6339,-4528
-3954,-2137,-6541
-1079,4340,-6518
-4591,-4530,4387
-7951,1225,-2498
-1124,758,7377
-3363,-3341,5161
6485,857,2463
-544,-7069,-3305
-5869,656,-4996
-5072,2294,5550
2797,5387,4833
4549,1164,6510
4355,-2213,-6155
3389,6001,3709
-3961,-6651,-283
2693,3160,-6076
-3700,6857,-4334
1292,6932,-5071
4850,-851,-5976
-5270,-5709,707
4392,5008,-4545
-5482,-2500,-3765
5419,-4405,-538
6920,383,1259
-4553,3852,3737
-1009,5957,3600
-2127,5695,3590
-3738,-5130,-3035
4986,-3778,-3303
3312,-6250,-194
5894,1756,3608
-1746,-6102,3191
-4923,-3736,3479
556,7555,-4188
2027,-7421,-581
6267,-881,-3252
-936,3574,-6155
-5876,-1636,3255
-3289,-2195,-5917
-5521,-4053,-1188
5806,2215,-4426
-2079,-7341,2855
132,-1754,-6851
-1151,-1323,-6823
4060,5348,2116
916,-6865,-1788
-5745,1519,3665
1242,6982,422
355,7305,1137
38,-2735,6773
-6617,386,2183
3878,4743,-3551
662,-928,-6915
5099,-4340,3729
-1890,-5329,-4561
2461,-1445,6959
-3470,7065,-2839
4787,-3628,-4076
2283,-1668,-6677
5438,-2650,3747
6841,1467,-275
-5829,2870,-2982
1756,-878,6800
-59,1918,6800
8053,4698,3927
-3926,5478,-3262
5588,-4297,1472
7498,1652,3603
-6085,3314,1401
-2361,-4911,-4507
7065,-3095,-1117
1110,1704,-6729
6224,-587,-4660
1303,3281,-6546
-6755,2108,1388
2446,1794,-6753
-2388,-6533,2367
-2130,-6929,-429
-6020,-3233,2772
3966,-5530,2963
-5872,685,4213
-6573,713,2282
2209,-793,-7162
-2144,731,6845
5928,671,3938
-4591,-4904,-2405
7588,-751,-5477
-6080,6265,1221
-1482,4081,5537
6566,-3624,-668
-3212,6533,1766
1167,-7236,-79
-4925,-2467,-4687
433,-2407,6906
2535,6339,-1729
6178,-5811,711
-1275,39858,-3532
2570,39791,-3843
-8167,39153,-2952
11669,38116,-4147
-6501,39730,-2319
-1974,-470,-7456
-3737,-4846,5019
2551,-4102,5461
1191,-13397,3303
-1989,3807,9679
-4176,9747,-786
5240,-2859,4168
-3294,-5376,3829
-6618,-2488,-1887
3602,-7223,-226
-2544,-5795,3774
678,6121,-3949
-502,-4879,-8596
5281,18,8571
5334,-3398,10225
4401,2560,8909
2144,-905,9265
338,-5200,6686
2020,-2484,-9328
-2990,8457,-4273
5613,-7572,-5342
8305,-4525,-3090
-9795,1447,-1904
-11610,133,-3931
-2356,9713,3236
-3941,2110,-9686
6928,2669,-487
4629,-1740,-5842
710,3344,6580
8247,5280,-2236
8260,5303,2168
-6561,-4203,6400
-1152,-5729,-4628
-850,690,-7042
-723,770,-7116
7575,-4358,-5441
5283,-4098,3247
7278,-795,-2671
789,5611,5445
2830,-2655,9251
-233,8760,3379
-6300,3707,7668
4123,4374,-5214
-161,-2224,7478
7471,-6746,206
-1745,-21643,-2829
2720,-578,-9911
-2990,-6,9367
-2605,-4779,-4854
-2622,1739,6284
-4752,4040,-4060
-2316,2028,-6289
-6251,-3279,3619
-2551,-40718,-10905
-2219,4430,-5242
16715,-36246,1455
3236,6990,1790
4845,39706,-3100
233,1674,7559
3270,-945,7030
